code,company_name,sector,basis,first_year,last_year,company_number,match_basis,match_years
JRH,J. ROTHSCHILD HOLDINGS PLC,Financials,"GICS-style classification, reconstructed 2026-08-26",1985,1985,,unresolved_no_composition_record,
KAZ,Kazakhmys,Materials,"GICS-style classification, reconstructed 2026-08-26",2005,2012,09132358,code_unique,2005-2012
KEL,Kelda Group,Utilities,"GICS-style classification, reconstructed 2026-08-26",2005,2007,02366627,code_unique,2005-2007
KGF,KINGFISHER PLC,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",1989,2024,01664812,code_unique,1989-2024
KWIK.L,Kwik Save Group,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1992,1992,,unresolved_no_composition_record,
LAD,Hilton Group,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",1983,2005,,unresolved_no_composition_record,
LAND,LAND SECURITIES GROUP PLC,Real Estate,"GICS-style classification, reconstructed 2026-08-26",1983,2024,04369054,code_plus_year_overlap,2002-2024
LGEN,LEGAL & GENERAL GROUP PLC,Financials,"GICS-style classification, reconstructed 2026-08-26",1983,2024,01417162,code_unique,1983-2024
LII,Liberty International,Real Estate,"GICS-style classification, reconstructed 2026-08-26",2002,2009,14236527,code_unique,2002-2009
LLOY,LLOYDS BANKING GROUP PLC,Financials,"GICS-style classification, reconstructed 2026-08-26",1983,2024,SC095000,code_unique,1983-2024
LMI,Lonmin,Materials,"GICS-style classification, reconstructed 2026-08-26",2006,2010,,unresolved_no_composition_record,
LMP,LONDONMETRIC PROPERTY PLC,Real Estate,"GICS-style classification, reconstructed 2026-08-26",2024,2024,07124797,code_unique,2024-2024
LOG,Logica,Information Technology,"GICS-style classification, reconstructed 2026-08-26",1999,2001,01631639,code_unique,1999-2001
LONR,Lonrho,Industrials,"GICS-style classification, reconstructed 2026-08-26",1984,1991,02805337,code_unique,1984-1991
LSEG,LONDON STOCK EXCHANGE GROUP PLC,Financials,"GICS-style classification, reconstructed 2026-08-26",2007,2024,05369106,code_unique,2007-2024
LSO,London and Scottish Marine Oil,Energy,"GICS-style classification, reconstructed 2026-08-26",1988,1997,01008965,code_unique,1988-1997
LUCS,Lucus Industries,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",1986,1991,,unresolved_no_composition_record,
LVA,LucasVarity,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",1996,1998,03207774,code_unique,1996-1998
MAG,Magnet & Southerns,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",1983,1983,02953047,code_unique,1983-1983
MAM,Mercury Asset Management,Financials,"GICS-style classification, reconstructed 2026-08-26",1996,1996,,unresolved_no_composition_record,
MAX,Maxwell Communications,Communication Services,"GICS-style classification, reconstructed 2026-08-26",1987,1990,,unresolved_no_composition_record,
MCRO,Micro Focus International,Information Technology,"GICS-style classification, reconstructed 2026-08-26",2016,2018,05134647,code_unique,2016-2018
MDC,Mediclinic International,Health Care,"GICS-style classification, reconstructed 2026-08-26",2016,2017,08338604,code_unique,2016-2017
MEPC,MEPC,Real Estate,"GICS-style classification, reconstructed 2026-08-26",1983,1994,05514581,code_unique,1983-1994
MERL,Merlin Entertainments,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",2015,2016,08700412,code_unique,2015-2016
MFI,MFI Furniture Group,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",1983,1983,,unresolved_no_composition_record,
MGGT,Meggitt,Industrials,"GICS-style classification, reconstructed 2026-08-26",2011,2021,00432989,code_unique,2011-2021
MID,Midland Bank,Financials,"GICS-style classification, reconstructed 2026-08-26",1983,1991,,unresolved_no_composition_record,
MKS,MARKS & SPENCER GROUP PLC,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1983,2024,04256886,code_plus_year_overlap,2002-2024
MNDI,MONDI PLC,Materials,"GICS-style classification, reconstructed 2026-08-26",2013,2024,06209386,code_unique,2013-2024
MNG,M&G PLC,Financials,"GICS-style classification, reconstructed 2026-08-26",2019,2024,11444019,code_unique,2019-2024
MONI,Marconi,Information Technology,"GICS-style classification, reconstructed 2026-08-26",1999,2000,SC639139,code_unique,1999-2000
MRO,MELROSE INDUSTRIES PLC,Industrials,"GICS-style classification, reconstructed 2026-08-26",2012,2024,09800044,code_unique,2012-2024
MRW,Morrison Supermarkets,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",2001,2020,00358949,code_unique,2001-2020
MSY,Misys,Information Technology,"GICS-style classification, reconstructed 2026-08-26",1999,2000,,unresolved_no_composition_record,
NFC,NFC,Industrials,"GICS-style classification, reconstructed 2026-08-26",1991,1992,16271657,code_unique,1991-1992
NFDS,Northern Foods,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1983,1992,00471864,code_unique,1983-1992
NG.,NATIONAL GRID PLC,Utilities,"GICS-style classification, reconstructed 2026-08-26",1995,2024,04031152,code_unique,1995-2024
NGG,Lattice Group,Utilities,"GICS-style classification, reconstructed 2026-08-26",2000,2001,03900804,code_unique,2000-2001
NMC,NMC Health,Health Care,"GICS-style classification, reconstructed 2026-08-26",2017,2019,07712220,code_unique,2017-2019
NPR,National Power,Utilities,"GICS-style classification, reconstructed 2026-08-26",1991,1999,12818602,code_unique,1991-1999
NRK,Northern Rock,Financials,"GICS-style classification, reconstructed 2026-08-26",2001,2006,16351760,code_unique,2001-2006
NU.,Norwich Union Plc,Financials,"GICS-style classification, reconstructed 2026-08-26",1997,1999,02468686,code_unique,1997-1999
NWG,NATWEST GROUP PLC,Financials,"GICS-style classification, reconstructed 2026-08-26",1983,2024,SC045551,code_plus_year_overlap,1983-2024
NXT,NEXT PLC,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",1987,2024,00035161,code_unique,1987-2024
OCDO,Ocado Group,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",2018,2023,07098618,code_unique,2018-2023
OML,Old Mutual,Financials,"GICS-style classification, reconstructed 2026-08-26",1999,2017,,unresolved_no_composition_record,
OOM,O2,Communication Services,"GICS-style classification, reconstructed 2026-08-26",2001,2005,04190833,code_unique,2001-2005
ORA,Orange Plc,Communication Services,"GICS-style classification, reconstructed 2026-08-26",1996,1998,12670975,code_unique,1996-1998
PFC,Petrofac,Energy,"GICS-style classification, reconstructed 2026-08-26",2009,2013,16051356,code_unique,2009-2013
PFG,Provident Financial,Financials,"GICS-style classification, reconstructed 2026-08-26",2015,2016,,unresolved_no_composition_record,
PHNX,PHOENIX GROUP HOLDINGS PLC,Financials,"GICS-style classification, reconstructed 2026-08-26",2019,2024,10691596,code_unique,2019-2024
PILK,Pilkington,Industrials,"GICS-style classification, reconstructed 2026-08-26",1983,1995,00041495,code_unique,1983-1995
PNN,Pennon Group,Utilities,"GICS-style classification, reconstructed 2026-08-26",2020,2020,02366640,code_unique,2020-2020
PNO,P&O,Industrials,"GICS-style classification, reconstructed 2026-08-26",1983,2005,03902746,code_plus_year_overlap,2001-2002
POLY,Polymetal International,Materials,"GICS-style classification, reconstructed 2026-08-26",2011,2021,,unresolved_no_composition_record,
PPB,Paddy Power Betfair,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",2016,2018,,unresolved_no_composition_record,
PPI,Polly Peck International,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1989,1989,,unresolved_no_composition_record,
PRTY,Partygaming,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",2005,2005,,unresolved_no_composition_record,
PRU,PRUDENTIAL PLC,Financials,"GICS-style classification, reconstructed 2026-08-26",1983,2024,01397169,code_unique,1983-2024
PSH,PERSHING SQUARE HOLDINGS LTD,Financials,"GICS-style classification, reconstructed 2026-08-26",2020,2024,,unresolved_no_composition_record,
PSN,PERSIMMON PLC,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",2005,2024,05525338,code_unique,2005-2024
PSON,PEARSON PLC,Communication Services,"GICS-style classification, reconstructed 2026-08-26",1983,2024,00053723,code_unique,1983-2024
PSY,Plessey Co,Information Technology,"GICS-style classification, reconstructed 2026-08-26",1983,1988,,unresolved_no_composition_record,
PWG,Powergen,Utilities,"GICS-style classification, reconstructed 2026-08-26",1991,2001,03586615,code_unique,1991-2001
RAL,Racal Electronics,Industrials,"GICS-style classification, reconstructed 2026-08-26",1983,1990,09220362,code_unique,1983-1990
RED,Redland,Materials,"GICS-style classification, reconstructed 2026-08-26",1983,1996,00137294,code_unique,1983-1996
REL,RELX PLC,Industrials,"GICS-style classification, reconstructed 2026-08-26",1983,2024,00077536,code_unique,1983-2024
RELX,RELX PLC,Industrials,"GICS-style classification, reconstructed 2026-08-26",2015,2020,00077536,code_unique,2015-2020
RES,Resolution Limited,Financials,"GICS-style classification, reconstructed 2026-08-26",2008,2013,06722436,code_unique,2008-2013
REX,Rexam,Materials,"GICS-style classification, reconstructed 2026-08-26",1995,2013,00191285,code_unique,1995-2013
RHM,Ranks Hovis McDougall,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1986,1990,,unresolved_no_composition_record,
RINS,Royal Insurance,Financials,"GICS-style classification, reconstructed 2026-08-26",1983,1995,01516396,code_unique,1983-1995
RIO,RIO TINTO PLC,Materials,"GICS-style classification, reconstructed 2026-08-26",1987,2024,00719885,code_unique,1987-2024
RKT,RECKITT BENCKISER GROUP PLC,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1983,2024,06270876,code_unique,1983-2024
RMC,RMC Group,Materials,"GICS-style classification, reconstructed 2026-08-26",1983,1996,09909380,code_unique,1983-1996
RMG,Royal Mail,Industrials,"GICS-style classification, reconstructed 2026-08-26",2013,2021,14240638,code_unique,2013-2021
RMV,RIGHTMOVE PLC,Communication Services,"GICS-style classification, reconstructed 2026-08-26",2018,2024,06426485,code_unique,2018-2024
RNK,The Rank Group,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",1983,1997,03140769,code_unique,1996-1997
ROW,Rowntree Mackintosh PLC,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1983,1987,,unresolved_no_composition_record,
RR,ROLLS ROYCE HOLDINGS PLC,Industrials,"GICS-style classification, reconstructed 2026-08-26",1987,2002,01003142,code_unique,1987-2002
RR.,ROLLS-ROYCE HOLDINGS PLC,Industrials,"GICS-style classification, reconstructed 2026-08-26",2003,2024,01003142,code_unique,2003-2024
RRS,Randgold Resources,Materials,"GICS-style classification, reconstructed 2026-08-26",2008,2017,,unresolved_no_composition_record,
RS1,RS Group,Industrials,"GICS-style classification, reconstructed 2026-08-26",2021,2023,00647788,code_unique,2022-2023
RSA,RSA Insurance Group,Financials,"GICS-style classification, reconstructed 2026-08-26",1983,2020,02339826,code_plus_year_overlap,2008-2020
RSL,Resolution Plc,Financials,"GICS-style classification, reconstructed 2026-08-26",2006,2007,,unresolved_no_composition_record,
RTK,Railtrack Group,Industrials,"GICS-style classification, reconstructed 2026-08-26",1996,2000,16791102,code_unique,1996-2000
RTM,Rothmans International,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1987,1992,03045251,code_unique,1987-1992
RTO,RENTOKIL INITIAL PLC,Industrials,"GICS-style classification, reconstructed 2026-08-26",1991,2024,05393279,code_plus_year_overlap,2007-2024
RTR,Reuters,Communication Services,"GICS-style classification, reconstructed 2026-08-26",1984,2007,03477402,code_unique,1984-2007
RTZ,Rio Tinto-Zinc Corporation,Materials,"GICS-style classification, reconstructed 2026-08-26",1983,1986,00719885,code_unique,1983-1986
SAA,Saatchi & Saatchi,Communication Services,"GICS-style classification, reconstructed 2026-08-26",1986,1986,00231824,code_unique,1986-1986
SAB,SABMiller,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1999,2015,,unresolved_no_composition_record,
SB.,SmithKline Beecham,Health Care,"GICS-style classification, reconstructed 2026-08-26",1989,1999,02337959,code_unique,1989-1999
SBE,Siebe,Industrials,"GICS-style classification, reconstructed 2026-08-26",1989,1998,,unresolved_no_composition_record,
SBRY,SAINSBURY(J) PLC,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1983,2024,00185647,code_unique,1983-2024
SCR,Securicor Plc,Industrials,"GICS-style classification, reconstructed 2026-08-26",1998,1998,00057379,code_unique,1998-1998
SDR,SCHRODERS PLC,Financials,"GICS-style classification, reconstructed 2026-08-26",1993,2024,03909886,code_unique,1993-2024
SED,Sedgwick Group,Financials,"GICS-style classification, reconstructed 2026-08-26",1983,1987,,unresolved_no_composition_record,
SEMA,Sema Group,Information Technology,"GICS-style classification, reconstructed 2026-08-26",1999,1999,16640835,code_unique,1999-1999
SFW,Safeway,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1996,2003,01299733,code_unique,1996-2003
SGC,Stagecoach Holdings,Industrials,"GICS-style classification, reconstructed 2026-08-26",1998,1998,SC212093,code_unique,1998-1998
SGE,THE SAGE GROUP PLC,Information Technology,"GICS-style classification, reconstructed 2026-08-26",1999,2024,02231246,code_unique,1999-2024
SGRO,SEGRO PLC,Real Estate,"GICS-style classification, reconstructed 2026-08-26",2009,2024,13246881,code_unique,2009-2024
SHEL,SHELL PLC,Energy,"GICS-style classification, reconstructed 2026-08-26",1983,2024,00054485,code_unique,1983-2024
SHP,Shire,Health Care,"GICS-style classification, reconstructed 2026-08-26",2000,2017,,unresolved_no_composition_record,
SIX,Six Continents Hotel Group,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",2001,2002,,unresolved_no_composition_record,
SKG,Smufit Kappa Group,Materials,"GICS-style classification, reconstructed 2026-08-26",2016,2023,,unresolved_no_composition_record,
SKY,Sky,Communication Services,"GICS-style classification, reconstructed 2026-08-26",2014,2017,02247735,code_unique,2014-2017
SL.,Standard Life,Financials,"GICS-style classification, reconstructed 2026-08-26",2006,2016,11606773,code_unique,2006-2016
SLOU,Slough Estates,Real Estate,"GICS-style classification, reconstructed 2026-08-26",2006,2006,08577185,code_unique,2006-2006
SLP,Sun Life & Provincial Holdings,Financials,"GICS-style classification, reconstructed 2026-08-26",1983,1999,00776273,code_unique,1983-1985
SMDS,Smith (DS),Materials,"GICS-style classification, reconstructed 2026-08-26",2017,2024,01377658,code_unique,2017-2024
SMIN,SMITHS GROUP PLC,Industrials,"GICS-style classification, reconstructed 2026-08-26",1985,2024,00137013,code_unique,1985-2024
SMT,SCOTTISH MORTGAGE INV TST PLC,Financials,"GICS-style classification, reconstructed 2026-08-26",2017,2024,SC007058,code_unique,2017-2024
SMWH,Smith (W.H.),Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",1991,1992,05202036,code_unique,1991-1992
SN,Scottish & Newcastle Plc,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1983,2007,00324357,code_unique,1983-2007
SN.,SMITH & NEPHEW PLC,Health Care,"GICS-style classification, reconstructed 2026-08-26",1983,2024,00324357,code_unique,1989-2024
SPT,Spirent,Information Technology,"GICS-style classification, reconstructed 2026-08-26",2000,2000,00720989,code_unique,2000-2000
SPW,Scottish Power,Utilities,"GICS-style classification, reconstructed 2026-08-26",1991,2006,SC117120,code_unique,1991-2006
SPX,SPIRAX GROUP PLC,Industrials,"GICS-style classification, reconstructed 2026-08-26",2018,2024,15436803,code_plus_year_overlap,2018-2023
SRP,Serco Group,Industrials,"GICS-style classification, reconstructed 2026-08-26",2008,2012,02048608,code_unique,2008-2012
SRS.L,Sears Holdings plc,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",1983,1994,00120271,code_unique,1983-1994
SSE,SSE PLC,Utilities,"GICS-style classification, reconstructed 2026-08-26",1992,2024,SC117119,code_unique,1992-2024
STAN,STANDARD CHARTERED PLC,Financials,"GICS-style classification, reconstructed 2026-08-26",1983,2024,00966425,code_unique,1983-2024
STC,STC PLC,Information Technology,"GICS-style classification, reconstructed 2026-08-26",1983,1990,,unresolved_no_composition_record,
STH,Storehouse,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",1985,1988,07034919,code_unique,1985-1985
STJ,ST.JAMES'S PLACE PLC,Financials,"GICS-style classification, reconstructed 2026-08-26",2014,2024,03183415,code_unique,2014-2024
SVT,SEVERN TRENT PLC,Utilities,"GICS-style classification, reconstructed 2026-08-26",1990,2024,02366619,code_unique,1990-2024
TARM,Tarmac,Materials,"GICS-style classification, reconstructed 2026-08-26",1983,1991,,unresolved_no_composition_record,
TATE,Tate & Lyle,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1991,2013,00076535,code_unique,1991-2013
TCG,Thomas Cook Group,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",2007,2009,06091951,code_unique,2007-2009
TEG.L,The Energy Group,Utilities,"GICS-style classification, reconstructed 2026-08-26",1997,1997,03613919,code_unique,1997-1997
TI,TI Group,Industrials,"GICS-style classification, reconstructed 2026-08-26",1992,1996,,unresolved_no_composition_record,
TLW,Tullow Oil,Energy,"GICS-style classification, reconstructed 2026-08-26",2007,2014,03919249,code_unique,2007-2014
TOMK,Tomkins,Industrials,"GICS-style classification, reconstructed 2026-08-26",1992,2003,12664251,code_unique,1992-2003
TPK,Travis Perkins,Industrials,"GICS-style classification, reconstructed 2026-08-26",2013,2015,00824821,code_unique,2013-2015
TRAF,Trafalgar House,Industrials,"GICS-style classification, reconstructed 2026-08-26",1983,1991,16570860,code_unique,1983-1991
TRI,Thomson Reuters,Industrials,"GICS-style classification, reconstructed 2026-08-26",2008,2008,01679046,code_unique,2008-2008
TSB,TSB Group,Financials,"GICS-style classification, reconstructed 2026-08-26",1987,1994,,unresolved_no_composition_record,
TSCO,TESCO PLC,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1983,2024,00445790,code_unique,1983-2024
TT.,TUI Travel,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",2007,2013,06072876,code_unique,2007-2013
TUI,TUI AG,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",2014,2019,,unresolved_no_composition_record,
TW.,TAYLOR WIMPEY PLC,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",2007,2024,00296805,code_unique,2007-2024
TW.L,Thames Water,Utilities,"GICS-style classification, reconstructed 2026-08-26",1990,1999,02366623,code_unique,1990-1999
TWOD,Taylor Woodrow,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",1989,1989,,unresolved_no_composition_record,
TWT,Telewest Communications,Communication Services,"GICS-style classification, reconstructed 2026-08-26",1998,2000,SC080891,code_unique,1998-2000
UB,United Biscuits,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1983,1994,08169000,code_unique,1983-1994
UBM,United Business Media,Communication Services,"GICS-style classification, reconstructed 2026-08-26",2000,2000,,unresolved_no_composition_record,
ULVR,UNILEVER PLC,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1983,2024,00041424,code_unique,1983-2024
UMA,Ultramar,Energy,"GICS-style classification, reconstructed 2026-08-26",1983,1990,,unresolved_no_composition_record,
UNIG,Unigate,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1986,1986,,unresolved_no_composition_record,
UNM,United News & Media,Communication Services,"GICS-style classification, reconstructed 2026-08-26",1996,1999,,unresolved_no_composition_record,
UTG,UNITE GROUP PLC,Real Estate,"GICS-style classification, reconstructed 2026-08-26",2022,2024,03199160,code_unique,2022-2024
UU.,UNITED UTILITIES GROUP PLC,Utilities,"GICS-style classification, reconstructed 2026-08-26",1990,2024,03528619,code_unique,1990-1995
VED,Vedanta Resources,Materials,"GICS-style classification, reconstructed 2026-08-26",2006,2012,04740415,code_unique,2006-2012
VOD,VODAFONE GROUP PLC,Communication Services,"GICS-style classification, reconstructed 2026-08-26",1991,2024,01833679,code_unique,1991-2024
WARB.L,Warburg SG Group,Financials,"GICS-style classification, reconstructed 2026-08-26",1993,1994,,unresolved_no_composition_record,
WCG,Willis Corroon,Financials,"GICS-style classification, reconstructed 2026-08-26",1991,1991,,unresolved_no_composition_record,
WEIR,WEIR GROUP PLC,Industrials,"GICS-style classification, reconstructed 2026-08-26",2010,2024,SC002934,code_unique,2010-2024
WEL,Wellcome,Health Care,"GICS-style classification, reconstructed 2026-08-26",1986,1994,01955498,code_unique,1986-1994
WFC,Willis Faber,Financials,"GICS-style classification, reconstructed 2026-08-26",1984,1986,01386469,code_unique,1984-1986
WG,Wood Group (John),Energy,"GICS-style classification, reconstructed 2026-08-26",2012,2018,SC278251,code_unique,2012-2018
WLMS,Williams,Industrials,"GICS-style classification, reconstructed 2026-08-26",1988,1998,,unresolved_no_composition_record,
WLW,Woolwich,Financials,"GICS-style classification, reconstructed 2026-08-26",1997,1999,15712439,code_unique,1997-1999
WMH,William Hill,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",2004,2013,04212563,code_unique,2004-2013
WMP,Wimpey (George) & Co,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",1983,1983,,unresolved_no_composition_record,
WOOL,Woolworths,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",1984,1988,06732228,code_unique,1984-1988
WOS,Wolseley,Industrials,"GICS-style classification, reconstructed 2026-08-26",1993,2016,00029846,code_unique,1993-2016
WPG,Worldpay Group,Financials,"GICS-style classification, reconstructed 2026-08-26",2015,2017,08762327,code_unique,2015-2017
WPP,WPP PLC,Communication Services,"GICS-style classification, reconstructed 2026-08-26",1998,2024,02670617,code_plus_year_overlap,1998-2011
WTB,WHITBREAD PLC,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",1983,2024,00029423,code_plus_year_overlap,1983-2008
XTA,Xstrata,Materials,"GICS-style classification, reconstructed 2026-08-26",2002,2012,04345939,code_unique,2002-2012
YELL,Yell Group,Communication Services,"GICS-style classification, reconstructed 2026-08-26",2003,2007,08815102,code_unique,2003-2007
ZEN,Zeneca Group,Health Care,"GICS-style classification, reconstructed 2026-08-26",1993,1998,02723534,code_unique,1993-1998
