code,company_name,sector,first_year,last_year,basis
PNO,P&O,Industrials,1983,2005,"GICS-style classification, reconstructed 2026-08-26"
POLY,Polymetal International,Materials,2011,2021,"GICS-style classification, reconstructed 2026-08-26"
PPB,Paddy Power Betfair,Consumer Discretionary,2016,2018,"GICS-style classification, reconstructed 2026-08-26"
PPI,Polly Peck International,Consumer Staples,1989,1989,"GICS-style classification, reconstructed 2026-08-26"
PRTY,Partygaming,Consumer Discretionary,2005,2005,"GICS-style classification, reconstructed 2026-08-26"
PRU,PRUDENTIAL PLC,Financials,1983,2024,"GICS-style classification, reconstructed 2026-08-26"
PSH,PERSHING SQUARE HOLDINGS LTD,Financials,2020,2024,"GICS-style classification, reconstructed 2026-08-26"
PSN,PERSIMMON PLC,Consumer Discretionary,2005,2024,"GICS-style classification, reconstructed 2026-08-26"
PSON,PEARSON PLC,Communication Services,1983,2024,"GICS-style classification, reconstructed 2026-08-26"
PSY,Plessey Co,Information Technology,1983,1988,"GICS-style classification, reconstructed 2026-08-26"
PWG,Powergen,Utilities,1991,2001,"GICS-style classification, reconstructed 2026-08-26"
RAL,Racal Electronics,Industrials,1983,1990,"GICS-style classification, reconstructed 2026-08-26"
RED,Redland,Materials,1983,1996,"GICS-style classification, reconstructed 2026-08-26"
REL,RELX PLC,Industrials,1983,2024,"GICS-style classification, reconstructed 2026-08-26"
RELX,RELX PLC,Industrials,2015,2020,"GICS-style classification, reconstructed 2026-08-26"
RES,Resolution Limited,Financials,2008,2013,"GICS-style classification, reconstructed 2026-08-26"
REX,Rexam,Materials,1995,2013,"GICS-style classification, reconstructed 2026-08-26"
