company_number,composition_name,ticker,year,need_price,need_shares,need_marketcap,need_dividend
00029846,Wolseley,,2001,True,True,True,True
00029846,Wolseley,,2002,True,True,True,True
00029846,Wolseley,,2003,True,True,True,True
00029846,Wolseley,,2004,True,True,True,True
00029846,Wolseley,,2005,True,True,True,True
00029846,Wolseley,,2006,True,True,True,True
00029846,Wolseley,,2007,True,True,True,True
00029846,Wolseley,,2008,True,True,True,True
00029846,Wolseley,,2009,True,True,True,True
00029846,Wolseley,,2010,True,True,True,True
00029846,Wolseley,,2011,True,True,True,True
00029846,Wolseley,,2012,True,True,True,True
00029846,Wolseley,,2013,True,True,True,True
00029846,Wolseley,,2014,True,True,True,True
00029846,Wolseley,,2015,True,True,True,True
00030470,Cobham,,2008,True,True,True,True
00030470,Cobham,,2009,True,True,True,True
00073800,Imperial Tobacco Group,,2001,True,True,True,True
00073800,Imperial Tobacco Group,,2002,True,True,True,True
00073800,Imperial Tobacco Group,,2003,True,True,True,True
00073800,Imperial Tobacco Group,,2004,True,True,True,True
00073800,Imperial Tobacco Group,,2005,True,True,True,True
00073800,Imperial Tobacco Group,,2006,True,True,True,True
00073800,Imperial Tobacco Group,,2007,True,True,True,True
00073800,Imperial Tobacco Group,,2008,True,True,True,True
00073800,Imperial Tobacco Group,,2009,True,True,True,True
00073800,Imperial Tobacco Group,,2010,True,True,True,True
00073800,Imperial Tobacco Group,,2011,True,True,True,True
00073800,Imperial Tobacco Group,,2012,True,True,True,True
00073800,Imperial Tobacco Group,,2013,True,True,True,True
00073800,Imperial Tobacco Group,,2014,True,True,True,True
00073800,Imperial Tobacco Group,,2015,True,True,True,True
00073975,Exel,,2002,True,True,True,True
00073975,Exel,,2003,True,True,True,True
00073975,Exel,,2004,True,True,True,True
00077536,RELX PLC,REL,2015,True,True,True,True
00100097,Royal & Sun Alliance Insurance Group,,2001,True,True,True,True
00100097,Royal & Sun Alliance Insurance Group,,2002,True,True,True,True
00100097,Royal & Sun Alliance Insurance Group,,2003,True,True,True,True
00100097,Royal & Sun Alliance Insurance Group,,2004,True,True,True,True
00100097,Royal & Sun Alliance Insurance Group,,2005,True,True,True,True
00100097,Royal & Sun Alliance Insurance Group,,2006,True,True,True,True
00100097,Royal & Sun Alliance Insurance Group,,2007,True,True,True,True
00166023,Invensys,,2001,True,True,True,True
00166023,Invensys,,2002,True,True,True,True
00166023,Invensys,,2008,True,True,True,True
00166023,Invensys,,2009,True,True,True,True
00166023,Invensys,,2010,True,True,True,True
00184594,Daily Mail & General Trust,,2001,True,True,True,True
00184594,Daily Mail & General Trust,,2002,True,True,True,True
00184594,Daily Mail & General Trust,,2003,True,True,True,True
00184594,Daily Mail & General Trust,,2004,True,True,True,True
00184594,Daily Mail & General Trust,,2005,True,True,True,True
00191285,Rexam,,2002,True,True,True,True
00191285,Rexam,,2003,True,True,True,True
00191285,Rexam,,2004,True,True,True,True
00191285,Rexam,,2005,True,True,True,True
00191285,Rexam,,2006,True,True,True,True
00191285,Rexam,,2007,True,True,True,True
00191285,Rexam,,2008,True,True,True,True
00191285,Rexam,,2009,True,True,True,True
00191285,Rexam,,2010,True,True,True,True
00191285,Rexam,,2011,True,True,True,True
00191285,Rexam,,2012,True,True,True,True
00191285,Rexam,,2013,True,True,True,True
00218019,Imperial Chemical Industries,,2001,True,True,True,True
00218019,Imperial Chemical Industries,,2002,True,True,True,True
00218019,Imperial Chemical Industries,,2003,True,True,True,True
00218019,Imperial Chemical Industries,,2004,True,True,True,True
00218019,Imperial Chemical Industries,,2005,True,True,True,True
00218019,Imperial Chemical Industries,,2006,True,True,True,True
00229231,EMI Group,,2001,True,True,True,True
00238525,Cable & Wireless,,2001,True,True,True,True
00238525,Cable & Wireless,,2003,True,True,True,True
00238525,Cable & Wireless,,2004,True,True,True,True
00238525,Cable & Wireless,,2005,True,True,True,True
00238525,Cable and Wireless,,2006,True,True,True,True
00238525,Cable and Wireless,,2007,True,True,True,True
00238525,Cable and Wireless,,2008,True,True,True,True
00238525,Cable and Wireless,,2009,True,True,True,True
00308372,Amvescap,,2001,True,True,True,True
00308372,Amvescap,,2002,True,True,True,True
00308372,Amvescap,,2003,True,True,True,True
00308372,Amvescap,,2004,True,True,True,True
00308372,Amvescap,,2005,True,True,True,True
00308372,Amvescap,,2006,True,True,True,True
00337663,BOC,,2001,True,True,True,True
00337663,BOC,,2002,True,True,True,True
00337663,BOC,,2003,True,True,True,True
00337663,BOC,,2004,True,True,True,True
00337663,BOC,,2005,True,True,True,True
00358949,Morrison Supermarkets,,2001,True,True,True,True
00358949,Morrison Supermarkets,,2002,True,True,True,True
00358949,Morrison Supermarkets,,2003,True,True,True,True
00358949,Morrison Supermarkets,,2004,True,True,True,True
00358949,Morrison Supermarkets,,2005,True,True,True,True
00358949,Morrison Supermarkets,,2006,True,True,True,True
00358949,Morrison Supermarkets,,2007,True,True,True,True
00358949,Morrison Supermarkets,,2008,True,True,True,True
00358949,Morrison Supermarkets,,2009,True,True,True,True
00358949,Morrison Supermarkets,,2010,True,True,True,True
00358949,Morrison Supermarkets,,2011,True,True,True,True
00358949,Morrison Supermarkets,,2012,True,True,True,True
00358949,Morrison Supermarkets,,2013,True,True,True,True
00358949,Morrison Supermarkets,,2014,True,True,True,True
00432989,Meggitt,,2011,True,True,True,True
00432989,Meggitt,,2012,True,True,True,True
00432989,Meggitt,,2013,True,True,True,True
00432989,Meggitt,,2014,True,True,True,True
01299733,Safeway,,2001,True,True,True,True
01299733,Safeway,,2002,True,True,True,True
01299733,Safeway,,2003,True,True,True,True
01631639,Logica,,2001,False,True,True,False
01682048,Enterprise Oil,,2001,True,True,True,True
01777777,British Airways,,2001,True,True,True,True
01777777,British Airways,,2002,True,True,True,True
01777777,British Airways,,2003,True,True,True,True
01777777,British Airways,,2004,True,True,True,True
01777777,British Airways,,2005,True,True,True,True
01777777,British Airways,,2006,True,True,True,True
01777777,British Airways,,2007,True,True,True,True
01777777,British Airways,,2008,True,True,True,True
01777777,British Airways,,2009,True,True,True,True
01777777,British Airways,,2010,True,True,True,True
02122142,Hargreaves Lansdown,,2011,True,True,True,True
02122142,Hargreaves Lansdown,,2012,True,True,True,True
02122142,Hargreaves Lansdown,,2013,True,True,True,True
02122142,Hargreaves Lansdown,,2014,True,True,True,True
02122142,Hargreaves Lansdown,,2015,True,True,True,True
02159282,Celltech Group,,2001,True,True,True,True
02247735,British Sky Broadcasting Group,,2001,True,True,True,True
02247735,British Sky Broadcasting Group,,2002,True,True,True,True
02247735,British Sky Broadcasting Group,,2003,True,True,True,True
02247735,British Sky Broadcasting Group,,2004,True,True,True,True
02247735,British Sky Broadcasting Group,,2005,True,True,True,True
02247735,British Sky Broadcasting Group,,2006,True,True,True,True
02247735,British Sky Broadcasting Group,,2007,True,True,True,True
02247735,British Sky Broadcasting Group,,2008,True,True,True,True
02247735,British Sky Broadcasting Group,,2009,True,True,True,True
02247735,British Sky Broadcasting Group,,2010,True,True,True,True
02247735,British Sky Broadcasting Group,,2011,True,True,True,True
02247735,British Sky Broadcasting Group,,2012,True,True,True,True
02247735,British Sky Broadcasting Group,,2013,True,True,True,True
02247735,Sky,,2014,True,True,True,True
02247735,Sky,,2015,True,True,True,True
02280426,Direct Line Insurance Group,,2014,True,True,True,True
02280426,Direct Line Insurance Group,,2015,True,True,True,True
02294747,Abbey National,,2001,True,True,True,True
02294747,Abbey National,,2002,True,True,True,True
02294747,Abbey National,,2003,True,True,True,True
02339826,RSA Insurance Group,,2008,True,True,True,True
02339826,RSA Insurance Group,,2009,True,True,True,True
02339826,RSA Insurance Group,,2010,True,True,True,True
02339826,RSA Insurance Group,,2011,True,True,True,True
02339826,RSA Insurance Group,,2012,True,True,True,True
02339826,RSA Insurance Group,,2013,True,True,True,True
02339826,RSA Insurance Group,,2014,True,True,True,True
02339826,RSA Insurance Group,,2015,True,True,True,True
02366627,Kelda Group,,2005,True,True,True,True
02366627,Kelda Group,,2006,True,True,True,True
02366627,Kelda Group,,2007,True,True,True,True
03263713,Alliance & Leicester,,2001,True,True,True,True
03263713,Alliance & Leicester,,2002,True,True,True,True
03263713,Alliance & Leicester,,2003,True,True,True,True
03263713,Alliance & Leicester,,2004,True,True,True,True
03263713,Alliance & Leicester,,2005,True,True,True,True
03263713,Alliance & Leicester,,2006,True,True,True,True
03263713,Alliance & Leicester,,2007,True,True,True,True
03299793,Gallaher Group,,2001,True,True,True,True
03299793,Gallaher Group,,2002,True,True,True,True
03299793,Gallaher Group,,2003,True,True,True,True
03299793,Gallaher Group,,2004,True,True,True,True
03299793,Gallaher Group,,2005,True,True,True,True
03299793,Gallaher Group,,2006,True,True,True,True
03477402,Reuters,,2001,True,True,True,True
03477402,Reuters,,2002,True,True,True,True
03477402,Reuters,,2003,True,True,True,True
03477402,Reuters,,2004,True,True,True,True
03477402,Reuters,,2005,True,True,True,True
03477402,Reuters,,2006,True,True,True,True
03477402,Reuters,,2007,True,True,True,True
03586615,Powergen,,2001,True,True,True,True
03685527,Intu Properties,,2014,True,True,True,True
03685527,Intu Properties,,2015,True,True,True,True
03690065,BG Group,,2001,True,True,True,True
03690065,BG Group,,2002,True,True,True,True
03690065,BG Group,,2003,True,True,True,True
03690065,BG Group,,2004,True,True,True,True
03690065,BG Group,,2005,True,True,True,True
03690065,BG Group,,2006,True,True,True,True
03690065,BG Group,,2007,True,True,True,True
03690065,BG Group,,2008,True,True,True,True
03690065,BG Group,,2009,True,True,True,True
03690065,BG Group,,2010,True,True,True,True
03690065,BG Group,,2011,True,True,True,True
03690065,BG Group,,2012,True,True,True,True
03690065,BG Group,,2013,True,True,True,True
03690065,BG Group,,2014,True,True,True,True
03690065,BG Group,,2015,True,True,True,True
03771147,Allied Domecq,,2001,True,True,True,True
03771147,Allied Domecq,,2002,True,True,True,True
03771147,Allied Domecq,,2003,True,True,True,True
03771147,Allied Domecq,,2004,True,True,True,True
03811373,Corus Group,,2004,True,True,True,True
03811373,Corus Group,,2006,True,True,True,True
03900804,Lattice Group,,2001,True,True,True,True
03902746,P&O Princess Cruises,,2001,True,True,True,True
03902746,P&O Princess Cruises,,2002,True,True,True,True
03962410,Granada,,2001,True,True,True,True
03962410,Granada,,2002,True,True,True,True
03962410,Granada,,2003,True,True,True,True
04190816,BT GROUP PLC,BT.A,2001,True,True,True,True
04190816,BT GROUP PLC,BT.A,2002,True,True,True,True
04190816,BT GROUP PLC,BT.A,2003,True,True,True,True
04190816,BT GROUP PLC,BT.A,2004,True,True,True,True
