symbol,cik,fiscal_year,shares_outstanding,shares_source_url,market_cap,marketcap_source_url
AVB,0000915912,2025,,https://www.sec.gov/Archives/edgar/data/915912/000091591226000004/0000915912-26-000004-index.htm,9093639547,https://finance.yahoo.com/quote/AVB/history (month-end close 2025-12-01) x shares
AVGO,0001730168,2025,,https://www.sec.gov/Archives/edgar/data/1730168/000173016825000121/0001730168-25-000121-index.htm,1910543649531,https://finance.yahoo.com/quote/AVGO/history (month-end close 2025-11-01) x shares
AVY,0000008818,2025,,https://www.sec.gov/Archives/edgar/data/8818/000000881826000015/0000008818-26-000015-index.htm,13982560103,https://finance.yahoo.com/quote/AVY/history (month-end close 2025-12-01) x shares
AVY,0000008818,2020,,https://www.sec.gov/Archives/edgar/data/8818/000119312521055146/0001193125-21-055146-index.htm,12528850741,https://finance.yahoo.com/quote/AVY/history (month-end close 2021-01-01) x shares
AVY,0000008818,2014,,https://www.sec.gov/Archives/edgar/data/8818/000104746915001200/0001047469-15-001200-index.htm,4730143427,https://finance.yahoo.com/quote/AVY/history (month-end close 2015-01-01) x shares
AWK,0001410636,2025,,https://www.sec.gov/Archives/edgar/data/1410636/000141063626000034/0001410636-26-000034-index.htm,25474730913,https://finance.yahoo.com/quote/AWK/history (month-end close 2025-12-01) x shares
AXON,0001069183,2025,,https://www.sec.gov/Archives/edgar/data/1069183/000162828026011360/0001628280-26-011360-index.htm,45660250974,https://finance.yahoo.com/quote/AXON/history (month-end close 2025-12-01) x shares
AXP,0000004962,2025,,https://www.sec.gov/Archives/edgar/data/4962/000000496226000080/0000004962-26-000080-index.htm,254012859531,https://finance.yahoo.com/quote/AXP/history (month-end close 2025-12-01) x shares
AYI,0001144215,2025,,https://www.sec.gov/Archives/edgar/data/1144215/000114421525000082/0001144215-25-000082-index.htm,9994216353,https://finance.yahoo.com/quote/AYI/history (month-end close 2025-08-01) x shares
AZO,0000866787,2025,,https://www.sec.gov/Archives/edgar/data/866787/000110465925102611/0001104659-25-102611-index.htm,69832731012,https://finance.yahoo.com/quote/AZO/history (month-end close 2025-08-01) x shares
BA,0000012927,2025,,https://www.sec.gov/Archives/edgar/data/12927/000162828026004357/0001628280-26-004357-index.htm,170514557649,https://finance.yahoo.com/quote/BA/history (month-end close 2025-12-01) x shares
BAC,0000070858,2025,,https://www.sec.gov/Archives/edgar/data/70858/000007085826000157/0000070858-26-000157-index.htm,394717519350,https://finance.yahoo.com/quote/BAC/history (month-end close 2025-12-01) x shares
BALL,0000009389,2025,,https://www.sec.gov/Archives/edgar/data/9389/000110465926017410/0001104659-26-017410-index.htm,14094108285,https://finance.yahoo.com/quote/BALL/history (month-end close 2025-12-01) x shares
