cik,fiscal_year,shares_sec,shares_url,revenue_url,net_income_url,total_assets_url
0001283699,2015,818420728,https://www.sec.gov/Archives/edgar/data/1283699/000128369916000073/0001283699-16-000073-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369916000073/0001283699-16-000073-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369916000073/0001283699-16-000073-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369916000073/0001283699-16-000073-index.htm
0001283699,2016,826525821,https://www.sec.gov/Archives/edgar/data/1283699/000128369917000010/0001283699-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369917000010/0001283699-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369917000010/0001283699-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369917000010/0001283699-17-000010-index.htm
0001283699,2017,854428593,https://www.sec.gov/Archives/edgar/data/1283699/000128369918000011/0001283699-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369918000011/0001283699-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369918000011/0001283699-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369918000011/0001283699-18-000011-index.htm
0001283699,2018,850221464,https://www.sec.gov/Archives/edgar/data/1283699/000128369919000015/0001283699-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369919000015/0001283699-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369919000015/0001283699-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369919000015/0001283699-19-000015-index.htm
0001283699,2019,856932845,https://www.sec.gov/Archives/edgar/data/1283699/000128369920000026/0001283699-20-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369920000026/0001283699-20-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369920000026/0001283699-20-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369920000026/0001283699-20-000026-index.htm
0001283699,2020,1242804085,https://www.sec.gov/Archives/edgar/data/1283699/000128369921000039/0001283699-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369921000039/0001283699-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369921000039/0001283699-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369921000039/0001283699-21-000039-index.htm
0001283699,2021,1249289954,https://www.sec.gov/Archives/edgar/data/1283699/000128369922000018/0001283699-22-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369922000018/0001283699-22-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369922000018/0001283699-22-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369922000018/0001283699-22-000018-index.htm
0001283699,2022,1219383110,https://www.sec.gov/Archives/edgar/data/1283699/000128369923000016/0001283699-23-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369923000016/0001283699-23-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369923000016/0001283699-23-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369923000016/0001283699-23-000016-index.htm
0001283699,2023,1186867575,https://www.sec.gov/Archives/edgar/data/1283699/000128369924000008/0001283699-24-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369924000008/0001283699-24-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369924000008/0001283699-24-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369924000008/0001283699-24-000008-index.htm
0001283699,2024,1141744952,https://www.sec.gov/Archives/edgar/data/1283699/000128369925000012/0001283699-25-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369925000012/0001283699-25-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369925000012/0001283699-25-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1283699/000128369925000012/0001283699-25-000012-index.htm
