symbol,cik,fiscal_year,value,source_url
ENS,0001289308,2012,1924955000,https://www.sec.gov/Archives/edgar/data/1289308/000119312513237411/0001193125-13-237411-index.htm
ENS,0001289308,2013,1987867000,https://www.sec.gov/Archives/edgar/data/1289308/000128930814000019/0001289308-14-000019-index.htm
ENS,0001289308,2014,2321858000,
ENS,0001289308,2015,2136555000,https://www.sec.gov/Archives/edgar/data/1289308/000128930815000029/0001289308-15-000029-index.htm
ENS,0001289308,2016,2214488000,
ENS,0001289308,2017,2293029000,https://www.sec.gov/Archives/edgar/data/1289308/000128930817000019/0001289308-17-000019-index.htm
ENS,0001289308,2018,2486925000,https://www.sec.gov/Archives/edgar/data/1289308/000128930818000017/0001289308-18-000017-index.htm
ENS,0001289308,2019,3118193000,https://www.sec.gov/Archives/edgar/data/1289308/000128930819000028/0001289308-19-000028-index.htm
ENS,0001289308,2020,3301698000,https://www.sec.gov/Archives/edgar/data/1289308/000128930820000029/0001289308-20-000029-index.htm
ENS,0001289308,2021,3462797000,https://www.sec.gov/Archives/edgar/data/1289308/000128930821000027/0001289308-21-000027-index.htm
ENS,0001289308,2022,3736646000,https://www.sec.gov/Archives/edgar/data/1289308/000128930822000036/0001289308-22-000036-index.htm
ENS,0001289308,2023,3616674000,https://www.sec.gov/Archives/edgar/data/1289308/000128930823000023/0001289308-23-000023-index.htm
ENS,0001289308,2024,3466006000,https://www.sec.gov/Archives/edgar/data/1289308/000128930824000018/0001289308-24-000018-index.htm
ENS,0001289308,2025,3971248000,https://www.sec.gov/Archives/edgar/data/1289308/000128930825000017/0001289308-25-000017-index.htm
ENS,0001289308,2026,4003324000,https://www.sec.gov/Archives/edgar/data/1289308/000162828026036900/0001628280-26-036900-index.htm
ETSY,0001370637,2019,1542352000,https://www.sec.gov/Archives/edgar/data/1370637/000137063720000046/0001370637-20-000046-index.htm
SMCI,0001375365,2017,1515130000,https://www.sec.gov/Archives/edgar/data/1375365/000137536519000039/0001375365-19-000039-index.htm
PBCT,0001378946,2006,10743200000,
PBCT,0001378946,2007,20976200000,
BR,0001383312,2007,2678200000,
TRGP,0001389170,2021,15208200000,https://www.sec.gov/Archives/edgar/data/1389170/000156459022006563/0001564590-22-006563-index.htm
ROK,0001024478,2009,4305700000,https://www.sec.gov/Archives/edgar/data/1024478/000095012309063897/0000950123-09-063897-index.htm
ROK,0001024478,2010,4748300000,https://www.sec.gov/Archives/edgar/data/1024478/000095012310106922/0000950123-10-106922-index.htm
XEL,0000072903,2019,50448000000,https://www.sec.gov/Archives/edgar/data/72903/000007290320000011/0000072903-20-000011-index.htm
DLR,0001297996,2010,5329483000,
DLR,0001297996,2011,6098566000,https://www.sec.gov/Archives/edgar/data/1297996/000119312512082659/0001193125-12-082659-index.htm
DLR,0001297996,2012,8819214000,https://www.sec.gov/Archives/edgar/data/1297996/000119312513084894/0001193125-13-084894-index.htm
DLR,0001297996,2013,9626830000,https://www.sec.gov/Archives/edgar/data/1297996/000119312514078397/0001193125-14-078397-index.htm
DLR,0001297996,2014,9526784000,https://www.sec.gov/Archives/edgar/data/1297996/000129799615000010/0001297996-15-000010-index.htm
DLR,0001297996,2015,11416063000,https://www.sec.gov/Archives/edgar/data/1297996/000129799616000124/0001297996-16-000124-index.htm
G,0001398659,2015,2793489000,https://www.sec.gov/Archives/edgar/data/1398659/000119312516480871/0001193125-16-480871-index.htm
LVS,0001300514,2009,20572106000,
LVS,0001300514,2010,21044308000,
LVS,0001300514,2011,22244123000,https://www.sec.gov/Archives/edgar/data/1300514/000095012312004305/0000950123-12-004305-index.htm
LVS,0001300514,2012,22163652000,https://www.sec.gov/Archives/edgar/data/1300514/000119312513087854/0001193125-13-087854-index.htm
LVS,0001300514,2013,22724264000,https://www.sec.gov/Archives/edgar/data/1300514/000144530514000758/0001445305-14-000758-index.htm
