symbol,cik,fiscal_year,value,source_url
BAC,0000070858,2017,87126000000,https://www.sec.gov/Archives/edgar/data/70858/000007085818000009/0000070858-18-000009-index.htm
MNR,0001980088,2023,762309000,https://www.sec.gov/Archives/edgar/data/1980088/000162828024014131/0001628280-24-014131-index.htm
BAC,0000070858,2021,89113000000,https://www.sec.gov/Archives/edgar/data/70858/000007085822000062/0000070858-22-000062-index.htm
BAC,0000070858,2022,94950000000,https://www.sec.gov/Archives/edgar/data/70858/000007085823000092/0000070858-23-000092-index.htm
MNR,0001980088,2024,969628000,https://www.sec.gov/Archives/edgar/data/1980088/000162828025012591/0001628280-25-012591-index.htm
ALB,0000915913,2010,2362764000,https://www.sec.gov/Archives/edgar/data/915913/000119312511047404/0001193125-11-047404-index.htm
ALB,0000915913,2011,2869005000,https://www.sec.gov/Archives/edgar/data/915913/000119312512071957/0001193125-12-071957-index.htm
ALB,0000915913,2012,2519154000,https://www.sec.gov/Archives/edgar/data/915913/000119312513062728/0001193125-13-062728-index.htm
ALB,0000915913,2013,2394270000,https://www.sec.gov/Archives/edgar/data/915913/000091591314000008/0000915913-14-000008-index.htm
POOL,0000945841,2009,1539794000,
POOL,0000945841,2010,1613746000,https://www.sec.gov/Archives/edgar/data/945841/000094584111000020/0000945841-11-000020-index.htm
POOL,0000945841,2011,1793318000,https://www.sec.gov/Archives/edgar/data/945841/000094584112000018/0000945841-12-000018-index.htm
POOL,0000945841,2012,1953974000,https://www.sec.gov/Archives/edgar/data/945841/000094584113000019/0000945841-13-000019-index.htm
POOL,0000945841,2013,2079700000,https://www.sec.gov/Archives/edgar/data/945841/000094584114000019/0000945841-14-000019-index.htm
POOL,0000945841,2014,2246562000,https://www.sec.gov/Archives/edgar/data/945841/000094584115000034/0000945841-15-000034-index.htm
POOL,0000945841,2015,2363139000,https://www.sec.gov/Archives/edgar/data/945841/000094584116000190/0000945841-16-000190-index.htm
POOL,0000945841,2017,2788188000,https://www.sec.gov/Archives/edgar/data/945841/000094584118000020/0000945841-18-000020-index.htm
POOL,0000945841,2018,2998097000,https://www.sec.gov/Archives/edgar/data/945841/000094584119000013/0000945841-19-000013-index.htm
COIN,0001679788,2024,6564028000,https://www.sec.gov/Archives/edgar/data/1679788/000167978825000022/0001679788-25-000022-index.htm
AIV,0000922864,2013,974053000,https://www.sec.gov/Archives/edgar/data/922864/000092286416000078/
ALL,0000899051,2010,31400000000,https://www.sec.gov/Archives/edgar/data/899051/000104746911001286/0001047469-11-001286-index.htm
ALL,0000899051,2011,32654000000,https://www.sec.gov/Archives/edgar/data/899051/000104746912001250/0001047469-12-001250-index.htm
ALL,0000899051,2012,33315000000,https://www.sec.gov/Archives/edgar/data/899051/000104746913001288/0001047469-13-001288-index.htm
MNR,0001980088,2025,1175390000,https://www.sec.gov/Archives/edgar/data/1980088/000162828026017249/0001628280-26-017249-index.htm
ALL,0000899051,2025,67685000000,https://www.sec.gov/Archives/edgar/data/899051/000089905126000031/0000899051-26-000031-index.htm
BAC,0000070858,2023,102769000000,https://www.sec.gov/Archives/edgar/data/70858/000007085824000122/0000070858-24-000122-index.htm
BAC,0000070858,2024,105856000000,https://www.sec.gov/Archives/edgar/data/70858/000007085825000139/0000070858-25-000139-index.htm
WFC,0000072971,2016,88267000000,
WFC,0000072971,2017,88389000000,https://www.sec.gov/Archives/edgar/data/72971/000007297118000272/0000072971-18-000272-index.htm
ALK,0000766421,2011,4318000000,https://www.sec.gov/Archives/edgar/data/766421/000076642112000018/0000766421-12-000018-index.htm
LVS,0001300514,2008,4389946000,
PPL,0000922224,2007,6462000000,
CNC,0001071739,2008,3364515000,
CNC,0001071739,2009,4102864000,
AMAT,0000006951,2009,5014000000,https://www.sec.gov/Archives/edgar/data/6951/000095012309070205/0000950123-09-070205-index.htm
AMAT,0000006951,2010,9549000000,https://www.sec.gov/Archives/edgar/data/6951/000095012310112754/0000950123-10-112754-index.htm
AMAT,0000006951,2011,10517000000,https://www.sec.gov/Archives/edgar/data/6951/000119312511332050/0001193125-11-332050-index.htm
AMAT,0000006951,2012,8719000000,https://www.sec.gov/Archives/edgar/data/6951/000000695112000018/0000006951-12-000018-index.htm
FE,0001031296,2007,12802000000,
FE,0001031296,2008,13627000000,
FE,0001031296,2009,12967000000,https://www.sec.gov/Archives/edgar/data/1031296/000103129610000011/0001031296-10-000011-index.htm
FE,0001031296,2010,13339000000,
CNC,0001071739,2010,4448323000,https://www.sec.gov/Archives/edgar/data/1071739/000107173911000012/0001071739-11-000012-index.htm
CNC,0001071739,2011,5211477000,https://www.sec.gov/Archives/edgar/data/1071739/000107173912000006/0001071739-12-000006-index.htm
TTD,0001671933,2016,202926000,
AME,0001037868,2013,3594136000,https://www.sec.gov/Archives/edgar/data/1037868/000119312516478197/
TRV,0000086312,2020,31981000000,https://www.sec.gov/Archives/edgar/data/86312/000008631221000011/0000086312-21-000011-index.htm
TRV,0000086312,2021,34816000000,https://www.sec.gov/Archives/edgar/data/86312/000008631222000013/0000086312-22-000013-index.htm
TRV,0000086312,2022,36884000000,https://www.sec.gov/Archives/edgar/data/86312/000008631223000011/0000086312-23-000011-index.htm
TRV,0000086312,2023,41364000000,https://www.sec.gov/Archives/edgar/data/86312/000008631224000012/0000086312-24-000012-index.htm
TRV,0000086312,2024,46423000000,https://www.sec.gov/Archives/edgar/data/86312/000008631225000012/0000086312-25-000012-index.htm
KEY,0000091576,2007,2709000000,
KEY,0000091576,2008,2582000000,
AME,0001037868,2010,2470952000,https://www.sec.gov/Archives/edgar/data/1037868/000095012311017564/0000950123-11-017564-index.htm
AME,0001037868,2011,2989914000,https://www.sec.gov/Archives/edgar/data/1037868/000119312512074885/0001193125-12-074885-index.htm
AME,0001037868,2012,3334213000,https://www.sec.gov/Archives/edgar/data/1037868/000119312513069307/0001193125-13-069307-index.htm
PPL,0000922224,2008,7857000000,
KEY,0000091576,2014,4114000000,
KEY,0000091576,2015,4256000000,
SXCL,0000709804,2001,762397000,
SXCL,0000709804,2004,673861000,
TFX,0000096943,2009,1434885000,
TFX,0000096943,2010,1397722000,https://www.sec.gov/Archives/edgar/data/96943/000095012311018007/0000950123-11-018007-index.htm
TFX,0000096943,2011,1492528000,https://www.sec.gov/Archives/edgar/data/96943/000119312512076013/0001193125-12-076013-index.htm
TFX,0000096943,2012,1551009000,https://www.sec.gov/Archives/edgar/data/96943/000119312513071160/0001193125-13-071160-index.htm
TFX,0000096943,2013,1696271000,https://www.sec.gov/Archives/edgar/data/96943/000156459014000320/0001564590-14-000320-index.htm
TFX,0000096943,2014,1839832000,https://www.sec.gov/Archives/edgar/data/96943/000009694315000023/0000096943-15-000023-index.htm
TFX,0000096943,2015,1809690000,https://www.sec.gov/Archives/edgar/data/96943/000009694316000154/0000096943-16-000154-index.htm
TFX,0000096943,2016,1868027000,https://www.sec.gov/Archives/edgar/data/96943/000009694317000014/0000096943-17-000014-index.htm
TFX,0000096943,2017,2146303000,https://www.sec.gov/Archives/edgar/data/96943/000009694318000028/0000096943-18-000028-index.htm
KEY,0000091576,2017,6308000000,https://www.sec.gov/Archives/edgar/data/91576/000009157618000011/0000091576-18-000011-index.htm
KEY,0000091576,2021,7292000000,https://www.sec.gov/Archives/edgar/data/91576/000009157622000029/0000091576-22-000029-index.htm
KEY,0000091576,2022,7272000000,https://www.sec.gov/Archives/edgar/data/91576/000009157623000026/0000091576-23-000026-index.htm
KEY,0000091576,2023,7927000000,https://www.sec.gov/Archives/edgar/data/91576/000009157624000040/0000091576-24-000040-index.htm
KEY,0000091576,2024,8427000000,https://www.sec.gov/Archives/edgar/data/91576/000009157625000038/0000091576-25-000038-index.htm
AN,0000350698,2025,27631400000,https://www.sec.gov/Archives/edgar/data/350698/000162828026007800/0001628280-26-007800-index.htm
ANET,0001596532,2013,361224000,
TFX,0000096943,2018,2448383000,https://www.sec.gov/Archives/edgar/data/96943/000009694319000021/0000096943-19-000021-index.htm
TFX,0000096943,2025,1992713000,https://www.sec.gov/Archives/edgar/data/96943/000009694326000019/0000096943-26-000019-index.htm
TER,0000097210,2007,1102280000000,
TER,0000097210,2013,1427933000,https://www.sec.gov/Archives/edgar/data/97210/000119312514077218/0001193125-14-077218-index.htm
TER,0000097210,2014,1647824000,https://www.sec.gov/Archives/edgar/data/97210/000119312515067671/0001193125-15-067671-index.htm
TER,0000097210,2015,1639578000,https://www.sec.gov/Archives/edgar/data/97210/000119312516484381/0001193125-16-484381-index.htm
TER,0000097210,2016,1753250000,https://www.sec.gov/Archives/edgar/data/97210/000119312517064638/0001193125-17-064638-index.htm
TER,0000097210,2017,2136606000,https://www.sec.gov/Archives/edgar/data/97210/000119312518066579/0001193125-18-066579-index.htm
TER,0000097210,2018,2100802000,https://www.sec.gov/Archives/edgar/data/97210/000119312519059974/0001193125-19-059974-index.htm
AMZN,0001018724,2003,5263699000,
TER,0000097210,2019,2294965000,https://www.sec.gov/Archives/edgar/data/97210/000119312520058676/0001193125-20-058676-index.htm
TEX,0000097216,2008,7958900000,
TEX,0000097216,2009,3858400000,https://www.sec.gov/Archives/edgar/data/97216/000110465910009153/0001104659-10-009153-index.htm
TEX,0000097216,2010,4418200000,https://www.sec.gov/Archives/edgar/data/97216/000110465911008249/0001104659-11-008249-index.htm
TEX,0000097216,2013,7084000000,https://www.sec.gov/Archives/edgar/data/97216/000009721614000027/0000097216-14-000027-index.htm
TEX,0000097216,2014,5484000000,
TEX,0000097216,2015,5021700000,https://www.sec.gov/Archives/edgar/data/97216/000009721616000245/0000097216-16-000245-index.htm
TEX,0000097216,2016,4443100000,https://www.sec.gov/Archives/edgar/data/97216/000009721617000029/0000097216-17-000029-index.htm
TEX,0000097216,2017,3793700000,https://www.sec.gov/Archives/edgar/data/97216/000009721618000024/0000097216-18-000024-index.htm
TEX,0000097216,2018,4517200000,https://www.sec.gov/Archives/edgar/data/97216/000009721619000024/0000097216-19-000024-index.htm
TEX,0000097216,2019,4353100000,https://www.sec.gov/Archives/edgar/data/97216/000009721620000027/0000097216-20-000027-index.htm
TEX,0000097216,2020,3076400000,https://www.sec.gov/Archives/edgar/data/97216/000009721621000030/0000097216-21-000030-index.htm
TEX,0000097216,2021,3886800000,https://www.sec.gov/Archives/edgar/data/97216/000009721622000013/0000097216-22-000013-index.htm
TEX,0000097216,2022,4418000000,https://www.sec.gov/Archives/edgar/data/97216/000009721623000012/0000097216-23-000012-index.htm
TEX,0000097216,2023,5152000000,https://www.sec.gov/Archives/edgar/data/97216/000009721624000013/0000097216-24-000013-index.htm
TEX,0000097216,2024,5127000000,https://www.sec.gov/Archives/edgar/data/97216/000009721625000011/0000097216-25-000011-index.htm
TEX,0000097216,2025,5421000000,https://www.sec.gov/Archives/edgar/data/97216/000009721626000035/0000097216-26-000035-index.htm
TXN,0000097476,2007,13835000000,
TXN,0000097476,2008,12501000000,
TXN,0000097476,2013,12205000000,https://www.sec.gov/Archives/edgar/data/97476/000009747614000007/0000097476-14-000007-index.htm
TXN,0000097476,2014,13045000000,https://www.sec.gov/Archives/edgar/data/97476/000009747615000003/0000097476-15-000003-index.htm
TXN,0000097476,2015,13000000000,https://www.sec.gov/Archives/edgar/data/97476/000156459016013126/0001564590-16-013126-index.htm
TXN,0000097476,2016,13370000000,https://www.sec.gov/Archives/edgar/data/97476/000156459017002142/0001564590-17-002142-index.htm
TXN,0000097476,2017,14961000000,https://www.sec.gov/Archives/edgar/data/97476/000156459018002832/0001564590-18-002832-index.htm
ZION,0000109380,2024,4293000000,https://www.sec.gov/Archives/edgar/data/109380/000010938025000040/0000109380-25-000040-index.htm
ZION,0000109380,2025,4184000000,https://www.sec.gov/Archives/edgar/data/109380/000010938026000046/0000109380-26-000046-index.htm
TXN,0000097476,2018,15784000000,https://www.sec.gov/Archives/edgar/data/97476/000156459019003839/0001564590-19-003839-index.htm
TXN,0000097476,2019,14383000000,https://www.sec.gov/Archives/edgar/data/97476/000009747620000009/0000097476-20-000009-index.htm
TXN,0000097476,2020,14461000000,https://www.sec.gov/Archives/edgar/data/97476/000009747621000006/0000097476-21-000006-index.htm
TXN,0000097476,2021,18344000000,https://www.sec.gov/Archives/edgar/data/97476/000009747622000009/0000097476-22-000009-index.htm
TXN,0000097476,2022,20028000000,https://www.sec.gov/Archives/edgar/data/97476/000009747623000007/0000097476-23-000007-index.htm
TXN,0000097476,2023,17519000000,https://www.sec.gov/Archives/edgar/data/97476/000009747624000007/0000097476-24-000007-index.htm
TXN,0000097476,2024,15641000000,https://www.sec.gov/Archives/edgar/data/97476/000009747625000007/0000097476-25-000007-index.htm
TXN,0000097476,2025,17682000000,https://www.sec.gov/Archives/edgar/data/97476/000009747626000059/0000097476-26-000059-index.htm
TKR,0000098362,2008,5040800000,
TKR,0000098362,2009,3141600000,
TKR,0000098362,2010,4055500000,
TKR,0000098362,2011,3359500000,
TKR,0000098362,2012,3359500000,
TKR,0000098362,2013,3035400000,https://www.sec.gov/Archives/edgar/data/98362/000009836214000045/0000098362-14-000045-index.htm
TKR,0000098362,2014,3076200000,
TKR,0000098362,2015,20600000,
TKR,0000098362,2016,2669800000,
TKR,0000098362,2017,3003800000,
ADSK,0000769397,2004,953255000000,
AXP,0000004962,2025,41304000000,https://www.sec.gov/Archives/edgar/data/4962/000000496226000080/0000004962-26-000080-index.htm
CAG,0000023217,2012,13331100000,
BMY,0000014272,2019,26145000000,https://www.sec.gov/Archives/edgar/data/14272/000001427220000082/0000014272-20-000082-index.htm
TKR,0000098362,2019,3789900000,https://www.sec.gov/Archives/edgar/data/98362/000009836220000045/0000098362-20-000045-index.htm
TKR,0000098362,2020,3513200000,https://www.sec.gov/Archives/edgar/data/98362/000009836221000039/0000098362-21-000039-index.htm
TKR,0000098362,2024,4573000000,https://www.sec.gov/Archives/edgar/data/98362/000009836225000055/0000098362-25-000055-index.htm
TKR,0000098362,2025,4581800000,https://www.sec.gov/Archives/edgar/data/98362/000009836226000012/0000098362-26-000012-index.htm
TRW,0000100030,2001,16383000000,
NI,0001111711,2008,8880200000,https://data.sec.gov/api/xbrl/companyfacts/CIK0001111711.json
BAC,0000070858,2025,113097000000,https://www.sec.gov/Archives/edgar/data/70858/000007085826000157/0000070858-26-000157-index.htm
PNC,0000713676,2007,5891000000,
PNC,0000713676,2008,6296000000,
PNC,0000713676,2010,15176000000,https://www.sec.gov/Archives/edgar/data/713676/000119312511051725/0001193125-11-051725-index.htm
PNC,0000713676,2011,14326000000,https://www.sec.gov/Archives/edgar/data/713676/000119312512087345/0001193125-12-087345-index.htm
PNC,0000713676,2012,15512000000,https://www.sec.gov/Archives/edgar/data/713676/000119312513085012/0001193125-13-085012-index.htm
PNC,0000713676,2013,16012000000,https://www.sec.gov/Archives/edgar/data/713676/000119312514077944/0001193125-14-077944-index.htm
PNC,0000713676,2014,15375000000,https://www.sec.gov/Archives/edgar/data/713676/000119312515070443/0001193125-15-070443-index.htm
PNC,0000713676,2015,15225000000,https://www.sec.gov/Archives/edgar/data/713676/000119312516482577/0001193125-16-482577-index.htm
PNC,0000713676,2016,15162000000,https://www.sec.gov/Archives/edgar/data/713676/000119312517062524/0001193125-17-062524-index.htm
PNC,0000713676,2017,16329000000,https://www.sec.gov/Archives/edgar/data/713676/000071367618000032/0000713676-18-000032-index.htm
BA,0000012927,2025,89463000000,https://www.sec.gov/Archives/edgar/data/12927/000162828026004357/0001628280-26-004357-index.htm
PNC,0000713676,2018,16190000000,https://www.sec.gov/Archives/edgar/data/713676/000071367619000015/0000713676-19-000015-index.htm
PNC,0000713676,2019,16839000000,https://www.sec.gov/Archives/edgar/data/713676/000071367620000042/0000713676-20-000042-index.htm
PNC,0000713676,2025,23099000000,https://www.sec.gov/Archives/edgar/data/713676/000071367626000020/0000713676-26-000020-index.htm
RJF,0000720005,2014,4965460000,https://www.sec.gov/Archives/edgar/data/720005/000072000514000077/0000720005-14-000077-index.htm
RJF,0000720005,2015,5309680000,https://www.sec.gov/Archives/edgar/data/720005/000072000515000075/0000720005-15-000075-index.htm
SWK,0000093556,2012,10022400000,https://www.sec.gov/Archives/edgar/data/93556/000009355613000004/0000093556-13-000004-index.htm
BRK.B,0001067983,2009,112493000000,https://www.sec.gov/Archives/edgar/data/1067983/000119312510043450/0001193125-10-043450-index.htm
BALL,0000009389,2025,13161000000,https://www.sec.gov/Archives/edgar/data/9389/000110465926017410/0001104659-26-017410-index.htm
BAX,0000010456,2025,11244000000,https://www.sec.gov/Archives/edgar/data/10456/000162828026007733/0001628280-26-007733-index.htm
SWK,0000093556,2009,4426200000,
MRO,0000101778,2008,78130000000,
BC,0000014930,2025,5362800000,https://www.sec.gov/Archives/edgar/data/14930/000001493026000027/0000014930-26-000027-index.htm
BMY,0000014272,2008,17715000000,
MBI,0000814585,2018,317000000,
MBI,0000814585,2019,280000000,https://www.sec.gov/Archives/edgar/data/814585/000119312520052873/0001193125-20-052873-index.htm
MBI,0000814585,2020,282000000,https://www.sec.gov/Archives/edgar/data/814585/000119312521063676/0001193125-21-063676-index.htm
MBI,0000814585,2021,189000000,https://www.sec.gov/Archives/edgar/data/814585/000119312522058160/0001193125-22-058160-index.htm
MBI,0000814585,2022,154000000,https://www.sec.gov/Archives/edgar/data/814585/000119312523054064/0001193125-23-054064-index.htm
