window,classifiable_entrants,genuinely_new,pct_genuinely_new,index
1985,12,0,0.0,FTSE100
1990,11,1,9.0,FTSE100
1995,25,2,8.0,FTSE100
2000,23,1,4.0,FTSE100
2005,22,5,23.0,FTSE100
2010,16,2,12.0,FTSE100
2015,18,6,33.0,FTSE100
2020,16,3,19.0,FTSE100
2025,6,2,33.0,FTSE100
1995,86,14,16.0,S&P500
2000,127,13,10.0,S&P500
2005,134,13,10.0,S&P500
2010,65,5,8.0,S&P500
2015,113,7,6.0,S&P500
2020,74,5,7.0,S&P500
2025,25,3,12.0,S&P500
