company_number,ticker,fiscal_year,value,currency,source_url
00077536,REL.L,2025,2065000000.0,GBP,https://finance.yahoo.com/quote/REL.L/financials
00719885,RIO.L,2022,12392000000.0,USD,https://finance.yahoo.com/quote/RIO.L/financials
00719885,RIO.L,2023,10058000000.0,USD,https://finance.yahoo.com/quote/RIO.L/financials
00719885,RIO.L,2024,11552000000.0,USD,https://finance.yahoo.com/quote/RIO.L/financials
00719885,RIO.L,2025,9966000000.0,USD,https://finance.yahoo.com/quote/RIO.L/financials
06270876,RKT.L,2022,2330000000.0,GBP,https://finance.yahoo.com/quote/RKT.L/financials
06270876,RKT.L,2023,1643000000.0,GBP,https://finance.yahoo.com/quote/RKT.L/financials
06270876,RKT.L,2024,1426000000.0,GBP,https://finance.yahoo.com/quote/RKT.L/financials
06270876,RKT.L,2025,3182000000.0,GBP,https://finance.yahoo.com/quote/RKT.L/financials
00185647,SBRY.L,2023,207000000.0,GBP,https://finance.yahoo.com/quote/SBRY.L/financials
00185647,SBRY.L,2024,137000000.0,GBP,https://finance.yahoo.com/quote/SBRY.L/financials
00185647,SBRY.L,2025,253000000.0,GBP,https://finance.yahoo.com/quote/SBRY.L/financials
00185647,SBRY.L,2026,393000000.0,GBP,https://finance.yahoo.com/quote/SBRY.L/financials
02231246,SGE.L,2022,260000000.0,GBP,https://finance.yahoo.com/quote/SGE.L/financials
02231246,SGE.L,2023,211000000.0,GBP,https://finance.yahoo.com/quote/SGE.L/financials
02231246,SGE.L,2024,323000000.0,GBP,https://finance.yahoo.com/quote/SGE.L/financials
02231246,SGE.L,2025,369000000.0,GBP,https://finance.yahoo.com/quote/SGE.L/financials
SC117119,SSE.L,2023,-123000000.0,GBP,https://finance.yahoo.com/quote/SSE.L/financials
SC117119,SSE.L,2024,1710500000.0,GBP,https://finance.yahoo.com/quote/SSE.L/financials
SC117119,SSE.L,2025,1189400000.0,GBP,https://finance.yahoo.com/quote/SSE.L/financials
SC117119,SSE.L,2026,1208700000.0,GBP,https://finance.yahoo.com/quote/SSE.L/financials
00445790,TSCO.L,2023,737000000.0,GBP,https://finance.yahoo.com/quote/TSCO.L/financials
00445790,TSCO.L,2024,1188000000.0,GBP,https://finance.yahoo.com/quote/TSCO.L/financials
00445790,TSCO.L,2025,1626000000.0,GBP,https://finance.yahoo.com/quote/TSCO.L/financials
00445790,TSCO.L,2026,1787000000.0,GBP,https://finance.yahoo.com/quote/TSCO.L/financials
00041424,ULVR.L,2022,7642000000.0,EUR,https://finance.yahoo.com/quote/ULVR.L/financials
00041424,ULVR.L,2023,6487000000.0,EUR,https://finance.yahoo.com/quote/ULVR.L/financials
00041424,ULVR.L,2024,5744000000.0,EUR,https://finance.yahoo.com/quote/ULVR.L/financials
00041424,ULVR.L,2025,9469000000.0,EUR,https://finance.yahoo.com/quote/ULVR.L/financials
06559020,UU.L,2023,204900000.0,GBP,https://finance.yahoo.com/quote/UU.L/financials
06559020,UU.L,2024,126900000.0,GBP,https://finance.yahoo.com/quote/UU.L/financials
06559020,UU.L,2025,264700000.0,GBP,https://finance.yahoo.com/quote/UU.L/financials
06559020,UU.L,2026,586800000.0,GBP,https://finance.yahoo.com/quote/UU.L/financials
FC037925,ENT.L,2022,24200000.0,GBP,https://finance.yahoo.com/quote/ENT.L/financials
FC037925,ENT.L,2023,-928600000.0,GBP,https://finance.yahoo.com/quote/ENT.L/financials
FC037925,ENT.L,2024,-452700000.0,GBP,https://finance.yahoo.com/quote/ENT.L/financials
FC037925,ENT.L,2025,-666700000.0,GBP,https://finance.yahoo.com/quote/ENT.L/financials
14840880,ICG.L,2023,280600000.0,GBP,https://finance.yahoo.com/quote/ICG.L/financials
14840880,ICG.L,2024,473400000.0,GBP,https://finance.yahoo.com/quote/ICG.L/financials
14840880,ICG.L,2025,451200000.0,GBP,https://finance.yahoo.com/quote/ICG.L/financials
14840880,ICG.L,2026,478400000.0,GBP,https://finance.yahoo.com/quote/ICG.L/financials
01003142,RR.L,2022,-1269000000.0,GBP,https://finance.yahoo.com/quote/RR.L/financials
01003142,RR.L,2023,2412000000.0,GBP,https://finance.yahoo.com/quote/RR.L/financials
