company_number,ticker,fiscal_year,value,currency,source_url
00077536,REL.L,2024,15133000000.0,GBP,https://finance.yahoo.com/quote/REL.L/financials
00077536,REL.L,2025,14757000000.0,GBP,https://finance.yahoo.com/quote/REL.L/financials
00719885,RIO.L,2022,96774000000.0,USD,https://finance.yahoo.com/quote/RIO.L/financials
00719885,RIO.L,2023,103549000000.0,USD,https://finance.yahoo.com/quote/RIO.L/financials
00719885,RIO.L,2024,102786000000.0,USD,https://finance.yahoo.com/quote/RIO.L/financials
00719885,RIO.L,2025,128102000000.0,USD,https://finance.yahoo.com/quote/RIO.L/financials
06270876,RKT.L,2022,28742000000.0,GBP,https://finance.yahoo.com/quote/RKT.L/financials
06270876,RKT.L,2023,27136000000.0,GBP,https://finance.yahoo.com/quote/RKT.L/financials
06270876,RKT.L,2024,25298000000.0,GBP,https://finance.yahoo.com/quote/RKT.L/financials
06270876,RKT.L,2025,25068000000.0,GBP,https://finance.yahoo.com/quote/RKT.L/financials
00185647,SBRY.L,2023,26158000000.0,GBP,https://finance.yahoo.com/quote/SBRY.L/financials
00185647,SBRY.L,2024,25160000000.0,GBP,https://finance.yahoo.com/quote/SBRY.L/financials
00185647,SBRY.L,2025,24757000000.0,GBP,https://finance.yahoo.com/quote/SBRY.L/financials
00185647,SBRY.L,2026,18943000000.0,GBP,https://finance.yahoo.com/quote/SBRY.L/financials
02231246,SGE.L,2022,3897000000.0,GBP,https://finance.yahoo.com/quote/SGE.L/financials
02231246,SGE.L,2023,3936000000.0,GBP,https://finance.yahoo.com/quote/SGE.L/financials
02231246,SGE.L,2024,3639000000.0,GBP,https://finance.yahoo.com/quote/SGE.L/financials
02231246,SGE.L,2025,3713000000.0,GBP,https://finance.yahoo.com/quote/SGE.L/financials
SC117119,SSE.L,2023,27177100000.0,GBP,https://finance.yahoo.com/quote/SSE.L/financials
SC117119,SSE.L,2024,28270200000.0,GBP,https://finance.yahoo.com/quote/SSE.L/financials
SC117119,SSE.L,2025,30363600000.0,GBP,https://finance.yahoo.com/quote/SSE.L/financials
SC117119,SSE.L,2026,35353600000.0,GBP,https://finance.yahoo.com/quote/SSE.L/financials
00445790,TSCO.L,2023,45868000000.0,GBP,https://finance.yahoo.com/quote/TSCO.L/financials
00445790,TSCO.L,2024,47039000000.0,GBP,https://finance.yahoo.com/quote/TSCO.L/financials
00445790,TSCO.L,2025,38890000000.0,GBP,https://finance.yahoo.com/quote/TSCO.L/financials
00445790,TSCO.L,2026,39474000000.0,GBP,https://finance.yahoo.com/quote/TSCO.L/financials
00041424,ULVR.L,2022,77821000000.0,EUR,https://finance.yahoo.com/quote/ULVR.L/financials
00041424,ULVR.L,2023,75266000000.0,EUR,https://finance.yahoo.com/quote/ULVR.L/financials
00041424,ULVR.L,2024,79750000000.0,EUR,https://finance.yahoo.com/quote/ULVR.L/financials
00041424,ULVR.L,2025,70471000000.0,EUR,https://finance.yahoo.com/quote/ULVR.L/financials
06559020,UU.L,2023,14527200000.0,GBP,https://finance.yahoo.com/quote/UU.L/financials
06559020,UU.L,2024,15653400000.0,GBP,https://finance.yahoo.com/quote/UU.L/financials
06559020,UU.L,2025,16769500000.0,GBP,https://finance.yahoo.com/quote/UU.L/financials
06559020,UU.L,2026,18127000000.0,GBP,https://finance.yahoo.com/quote/UU.L/financials
FC037925,ENT.L,2022,8740100000.0,GBP,https://finance.yahoo.com/quote/ENT.L/financials
FC037925,ENT.L,2023,10850600000.0,GBP,https://finance.yahoo.com/quote/ENT.L/financials
FC037925,ENT.L,2024,10141000000.0,GBP,https://finance.yahoo.com/quote/ENT.L/financials
FC037925,ENT.L,2025,9396300000.0,GBP,https://finance.yahoo.com/quote/ENT.L/financials
14840880,ICG.L,2023,9052500000.0,GBP,https://finance.yahoo.com/quote/ICG.L/financials
14840880,ICG.L,2024,9122100000.0,GBP,https://finance.yahoo.com/quote/ICG.L/financials
14840880,ICG.L,2025,9342600000.0,GBP,https://finance.yahoo.com/quote/ICG.L/financials
14840880,ICG.L,2026,9912200000.0,GBP,https://finance.yahoo.com/quote/ICG.L/financials
01003142,RR.L,2022,29450000000.0,GBP,https://finance.yahoo.com/quote/RR.L/financials
01003142,RR.L,2023,31512000000.0,GBP,https://finance.yahoo.com/quote/RR.L/financials
01003142,RR.L,2024,35686000000.0,GBP,https://finance.yahoo.com/quote/RR.L/financials
01003142,RR.L,2025,38115000000.0,GBP,https://finance.yahoo.com/quote/RR.L/financials
09439967,AUTO.L,2023,662700000.0,GBP,https://finance.yahoo.com/quote/AUTO.L/financials
09439967,AUTO.L,2024,658000000.0,GBP,https://finance.yahoo.com/quote/AUTO.L/financials
09439967,AUTO.L,2025,639600000.0,GBP,https://finance.yahoo.com/quote/AUTO.L/financials
09439967,AUTO.L,2026,685300000.0,GBP,https://finance.yahoo.com/quote/AUTO.L/financials
00012901,FCIT.L,2022,5238854000.0,GBP,https://finance.yahoo.com/quote/FCIT.L/financials
00012901,FCIT.L,2023,5629292000.0,GBP,https://finance.yahoo.com/quote/FCIT.L/financials
00012901,FCIT.L,2024,6270732000.0,GBP,https://finance.yahoo.com/quote/FCIT.L/financials
00012901,FCIT.L,2025,6759942000.0,GBP,https://finance.yahoo.com/quote/FCIT.L/financials
01142830,III.L,2023,17819000000.0,GBP,https://finance.yahoo.com/quote/III.L/financials
01142830,III.L,2024,21641000000.0,GBP,https://finance.yahoo.com/quote/III.L/financials
01142830,III.L,2025,26056000000.0,GBP,https://finance.yahoo.com/quote/III.L/financials
01142830,III.L,2026,32338000000.0,GBP,https://finance.yahoo.com/quote/III.L/financials
16133984,ABDN.L,2022,9212000000.0,GBP,https://finance.yahoo.com/quote/ABDN.L/financials
16133984,ABDN.L,2023,8031000000.0,GBP,https://finance.yahoo.com/quote/ABDN.L/financials
16133984,ABDN.L,2024,7721000000.0,GBP,https://finance.yahoo.com/quote/ABDN.L/financials
16133984,ABDN.L,2025,10718000000.0,GBP,https://finance.yahoo.com/quote/ABDN.L/financials
03849958,ADM.L,2022,6208800000.0,GBP,https://finance.yahoo.com/quote/ADM.L/financials
03849958,ADM.L,2023,7096200000.0,GBP,https://finance.yahoo.com/quote/ADM.L/financials
03849958,ADM.L,2024,7944200000.0,GBP,https://finance.yahoo.com/quote/ADM.L/financials
03849958,ADM.L,2025,9022800000.0,GBP,https://finance.yahoo.com/quote/ADM.L/financials
11462215,AAF.L,2023,11166000000.0,USD,https://finance.yahoo.com/quote/AAF.L/financials
11462215,AAF.L,2024,9861000000.0,USD,https://finance.yahoo.com/quote/AAF.L/financials
11462215,AAF.L,2025,12023000000.0,USD,https://finance.yahoo.com/quote/AAF.L/financials
11462215,AAF.L,2026,13963000000.0,USD,https://finance.yahoo.com/quote/AAF.L/financials
SC001731,ALW.L,2022,3111058000.0,GBP,https://finance.yahoo.com/quote/ALW.L/financials
SC001731,ALW.L,2023,3576624000.0,GBP,https://finance.yahoo.com/quote/ALW.L/financials
SC001731,ALW.L,2024,5596388000.0,GBP,https://finance.yahoo.com/quote/ALW.L/financials
SC001731,ALW.L,2025,5490142000.0,GBP,https://finance.yahoo.com/quote/ALW.L/financials
04709270,DCC.L,2023,9840776000.0,GBP,https://finance.yahoo.com/quote/DCC.L/financials
04709270,DCC.L,2024,9483219000.0,GBP,https://finance.yahoo.com/quote/DCC.L/financials
04709270,DCC.L,2025,9257629000.0,GBP,https://finance.yahoo.com/quote/DCC.L/financials
04709270,DCC.L,2026,8269869000.0,GBP,https://finance.yahoo.com/quote/DCC.L/financials
00023307,DGE.L,2023,44883000000.0,USD,https://finance.yahoo.com/quote/DGE.L/financials
00023307,DGE.L,2024,45474000000.0,USD,https://finance.yahoo.com/quote/DGE.L/financials
00023307,DGE.L,2025,49322000000.0,USD,https://finance.yahoo.com/quote/DGE.L/financials
00023307,DGE.L,2026,46845000000.0,USD,https://finance.yahoo.com/quote/DGE.L/financials
03899848,DPLM.L,2022,1379000000.0,GBP,https://finance.yahoo.com/quote/DPLM.L/financials
03899848,DPLM.L,2023,1589300000.0,GBP,https://finance.yahoo.com/quote/DPLM.L/financials
03899848,DPLM.L,2024,1772100000.0,GBP,https://finance.yahoo.com/quote/DPLM.L/financials
03899848,DPLM.L,2025,1809400000.0,GBP,https://finance.yahoo.com/quote/DPLM.L/financials
13280545,EDV.L,2022,6414700000.0,USD,https://finance.yahoo.com/quote/EDV.L/financials
13280545,EDV.L,2023,5858500000.0,USD,https://finance.yahoo.com/quote/EDV.L/financials
