company_number,ticker,fiscal_year,value,currency,source_url
,PSH.L,2023,2570527155.0,USD,https://finance.yahoo.com/quote/PSH.L/financials
,PSH.L,2024,1204848725.0,USD,https://finance.yahoo.com/quote/PSH.L/financials
,PSH.L,2025,2574533458.0,USD,https://finance.yahoo.com/quote/PSH.L/financials
00053723,PSON.L,2022,3841000000.0,GBP,https://finance.yahoo.com/quote/PSON.L/financials
00053723,PSON.L,2023,3674000000.0,GBP,https://finance.yahoo.com/quote/PSON.L/financials
00053723,PSON.L,2024,3552000000.0,GBP,https://finance.yahoo.com/quote/PSON.L/financials
00053723,PSON.L,2025,3577000000.0,GBP,https://finance.yahoo.com/quote/PSON.L/financials
00077536,REL.L,2022,8553000000.0,GBP,https://finance.yahoo.com/quote/REL.L/financials
00077536,REL.L,2023,9161000000.0,GBP,https://finance.yahoo.com/quote/REL.L/financials
00077536,REL.L,2024,9434000000.0,GBP,https://finance.yahoo.com/quote/REL.L/financials
00077536,REL.L,2025,9590000000.0,GBP,https://finance.yahoo.com/quote/REL.L/financials
00719885,RIO.L,2022,55554000000.0,USD,https://finance.yahoo.com/quote/RIO.L/financials
00719885,RIO.L,2023,54041000000.0,USD,https://finance.yahoo.com/quote/RIO.L/financials
00719885,RIO.L,2024,53658000000.0,USD,https://finance.yahoo.com/quote/RIO.L/financials
00719885,RIO.L,2025,57638000000.0,USD,https://finance.yahoo.com/quote/RIO.L/financials
06270876,RKT.L,2022,14453000000.0,GBP,https://finance.yahoo.com/quote/RKT.L/financials
06270876,RKT.L,2023,14607000000.0,GBP,https://finance.yahoo.com/quote/RKT.L/financials
06270876,RKT.L,2024,14169000000.0,GBP,https://finance.yahoo.com/quote/RKT.L/financials
06270876,RKT.L,2025,14205000000.0,GBP,https://finance.yahoo.com/quote/RKT.L/financials
00185647,SBRY.L,2023,31491000000.0,GBP,https://finance.yahoo.com/quote/SBRY.L/financials
00185647,SBRY.L,2024,32238000000.0,GBP,https://finance.yahoo.com/quote/SBRY.L/financials
00185647,SBRY.L,2025,32772000000.0,GBP,https://finance.yahoo.com/quote/SBRY.L/financials
00185647,SBRY.L,2026,33647000000.0,GBP,https://finance.yahoo.com/quote/SBRY.L/financials
02231246,SGE.L,2022,1947000000.0,GBP,https://finance.yahoo.com/quote/SGE.L/financials
02231246,SGE.L,2023,2184000000.0,GBP,https://finance.yahoo.com/quote/SGE.L/financials
02231246,SGE.L,2024,2332000000.0,GBP,https://finance.yahoo.com/quote/SGE.L/financials
02231246,SGE.L,2025,2513000000.0,GBP,https://finance.yahoo.com/quote/SGE.L/financials
SC117119,SSE.L,2023,12490700000.0,GBP,https://finance.yahoo.com/quote/SSE.L/financials
SC117119,SSE.L,2024,10457200000.0,GBP,https://finance.yahoo.com/quote/SSE.L/financials
SC117119,SSE.L,2025,10131900000.0,GBP,https://finance.yahoo.com/quote/SSE.L/financials
SC117119,SSE.L,2026,10186500000.0,GBP,https://finance.yahoo.com/quote/SSE.L/financials
00445790,TSCO.L,2023,65322000000.0,GBP,https://finance.yahoo.com/quote/TSCO.L/financials
00445790,TSCO.L,2024,68187000000.0,GBP,https://finance.yahoo.com/quote/TSCO.L/financials
00445790,TSCO.L,2025,69916000000.0,GBP,https://finance.yahoo.com/quote/TSCO.L/financials
00445790,TSCO.L,2026,73712000000.0,GBP,https://finance.yahoo.com/quote/TSCO.L/financials
00041424,ULVR.L,2022,60073000000.0,EUR,https://finance.yahoo.com/quote/ULVR.L/financials
00041424,ULVR.L,2023,51680000000.0,EUR,https://finance.yahoo.com/quote/ULVR.L/financials
00041424,ULVR.L,2024,52479000000.0,EUR,https://finance.yahoo.com/quote/ULVR.L/financials
00041424,ULVR.L,2025,50503000000.0,EUR,https://finance.yahoo.com/quote/ULVR.L/financials
06559020,UU.L,2023,1804200000.0,GBP,https://finance.yahoo.com/quote/UU.L/financials
06559020,UU.L,2024,1949500000.0,GBP,https://finance.yahoo.com/quote/UU.L/financials
06559020,UU.L,2025,2145200000.0,GBP,https://finance.yahoo.com/quote/UU.L/financials
06559020,UU.L,2026,2616300000.0,GBP,https://finance.yahoo.com/quote/UU.L/financials
